"time_s","concentration_pM","sensor_config","surface_occupancy","gamma_mol_m2","sensor_area_m2","N_bound","source"
"6000","100","full_boundary","0.832758501446637","6.91189556200708E-12","8E-10","3329.95263942608","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"6000","100","local_sensor","0.832758501446637","6.91189556200708E-12","4E-11","166.497631971304","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"0","1000","full_boundary","0","0","8E-10","0","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"0","1000","local_sensor","0","0","4E-11","0","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"100","1000","full_boundary","0.542769395804632","4.50498598517844E-12","8E-10","2170.37277796575","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"100","1000","local_sensor","0.542769395804632","4.50498598517844E-12","4E-11","108.518638898287","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"500","1000","full_boundary","0.852598579198514","7.07656820734767E-12","8E-10","3409.28718739108","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"500","1000","local_sensor","0.852598579198514","7.07656820734767E-12","4E-11","170.464359369554","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"1000","1000","full_boundary","0.918064541201902","7.61993569197578E-12","8E-10","3671.06602553809","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"1000","1000","local_sensor","0.918064541201902","7.61993569197578E-12","4E-11","183.553301276905","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"2000","1000","full_boundary","0.954637883125046","7.92349442993788E-12","8E-10","3817.31190145295","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"2000","1000","local_sensor","0.954637883125046","7.92349442993788E-12","4E-11","190.865595072647","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"4000","1000","full_boundary","0.973873755574184","8.08315217126573E-12","8E-10","3894.23041278895","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"4000","1000","local_sensor","0.973873755574184","8.08315217126573E-12","4E-11","194.711520639447","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"6000","1000","full_boundary","0.980312546901689","8.13659413928402E-12","8E-10","3919.97721710075","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"6000","1000","local_sensor","0.980312546901689","8.13659413928402E-12","4E-11","195.998860855038","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
