"time_s","r","v_in_m_s","sensor_surface_c_avg_pM","sensor_surface_c_avg_mol_m3","sensor_area_m2","flux_integral_sensor_mol_s","source"
"1000","1","5E-07","3.50653037817329","3.50653037817329E-09","2.82743338823081E-09","4.9572405340464E-24","M2B sensor exposure flux proxy"
"2000","1","5E-07","5.73225291332032","5.73225291332032E-09","2.82743338823081E-09","8.10378163845261E-24","M2B sensor exposure flux proxy"
"4000","1","5E-07","8.04172213265426","8.04172213265426E-09","2.82743338823081E-09","1.13687168283707E-23","M2B sensor exposure flux proxy"
"6000","1","5E-07","8.97218492899334","8.97218492899334E-09","2.82743338823081E-09","1.26841276168085E-23","M2B sensor exposure flux proxy"
"0","0.1","1E-06","0","0","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"100","0.1","1E-06","0.363202502246851","3.63202502246851E-10","2.82743338823081E-09","1.02693088154172E-24","M2B sensor exposure flux proxy"
"500","0.1","1E-06","1.68370116149461","1.68370116149461E-09","2.82743338823081E-09","4.76055287981285E-24","M2B sensor exposure flux proxy"
"1000","0.1","1E-06","3.07210548952897","3.07210548952897E-09","2.82743338823081E-09","8.68617363326139E-24","M2B sensor exposure flux proxy"
"2000","0.1","1E-06","5.16110346460023","5.16110346460023E-09","2.82743338823081E-09","1.45926762559244E-23","M2B sensor exposure flux proxy"
"4000","0.1","1E-06","7.54752057791833","7.54752057791833E-09","2.82743338823081E-09","2.13401116803654E-23","M2B sensor exposure flux proxy"
"6000","0.1","1E-06","8.65096418795233","8.65096418795233E-09","2.82743338823081E-09","2.44600249854055E-23","M2B sensor exposure flux proxy"
"0","0.25","1E-06","0","0","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"100","0.25","1E-06","0.409696903409251","4.09696903409251E-10","2.82743338823081E-09","1.15839070375409E-24","M2B sensor exposure flux proxy"
"500","0.25","1E-06","1.88094311918137","1.88094311918137E-09","2.82743338823081E-09","5.31824137653641E-24","M2B sensor exposure flux proxy"
"1000","0.25","1E-06","3.39335009069651","3.39335009069651E-09","2.82743338823081E-09","9.59447134439138E-24","M2B sensor exposure flux proxy"
"2000","0.25","1E-06","5.58723926076489","5.58723926076489E-09","2.82743338823081E-09","1.57975468339207E-23","M2B sensor exposure flux proxy"
"4000","0.25","1E-06","7.92268242183889","7.92268242183889E-09","2.82743338823081E-09","2.24008568038566E-23","M2B sensor exposure flux proxy"
"6000","0.25","1E-06","8.89888811199231","8.89888811199231E-09","2.82743338823081E-09","2.51610133659773E-23","M2B sensor exposure flux proxy"
"0","0.5","1E-06","0","0","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"100","0.5","1E-06","0.469839634924897","4.69839634924897E-10","2.82743338823081E-09","1.32844027090083E-24","M2B sensor exposure flux proxy"
"500","0.5","1E-06","2.13023229564704","2.13023229564704E-09","2.82743338823081E-09","6.0230899174E-24","M2B sensor exposure flux proxy"
"1000","0.5","1E-06","3.78776775447973","3.78776775447973E-09","2.82743338823081E-09","1.07096610158801E-23","M2B sensor exposure flux proxy"
"2000","0.5","1E-06","6.08103711709734","6.08103711709734E-09","2.82743338823081E-09","1.71937273799519E-23","M2B sensor exposure flux proxy"
"4000","0.5","1E-06","8.31009377382848","8.31009377382848E-09","2.82743338823081E-09","2.34962365954516E-23","M2B sensor exposure flux proxy"
"6000","0.5","1E-06","9.12717373621639","9.12717373621639E-09","2.82743338823081E-09","2.58064757619616E-23","M2B sensor exposure flux proxy"
"0","0.75","1E-06","0","0","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"100","0.75","1E-06","0.515217189808491","5.15217189808491E-10","2.82743338823081E-09","1.45674228465498E-24","M2B sensor exposure flux proxy"
"500","0.75","1E-06","2.31402270867947","2.31402270867947E-09","2.82743338823081E-09","6.54274506764463E-24","M2B sensor exposure flux proxy"
"1000","0.75","1E-06","4.07026405316265","4.07026405316265E-09","2.82743338823081E-09","1.15084004828278E-23","M2B sensor exposure flux proxy"
"2000","0.75","1E-06","6.41479378731822","6.41479378731822E-09","2.82743338823081E-09","1.81374021328791E-23","M2B sensor exposure flux proxy"
"4000","0.75","1E-06","8.54317306069723","8.54317306069723E-09","2.82743338823081E-09","2.41552527532494E-23","M2B sensor exposure flux proxy"
"6000","0.75","1E-06","9.24935294450035","9.24935294450035E-09","2.82743338823081E-09","2.61519293348113E-23","M2B sensor exposure flux proxy"
"0","1","1E-06","0","0","2.82743338823081E-09","0","M2B sensor exposure flux proxy"
"100","1","1E-06","0.550672022558442","5.50672022558442E-10","2.82743338823081E-09","1.55698846254633E-24","M2B sensor exposure flux proxy"
"500","1","1E-06","2.45509083870246","2.45509083870246E-09","2.82743338823081E-09","6.94160580848693E-24","M2B sensor exposure flux proxy"
"1000","1","1E-06","4.28232011216734","4.28232011216734E-09","2.82743338823081E-09","1.21079748642343E-23","M2B sensor exposure flux proxy"
"2000","1","1E-06","6.65440423026459","6.65440423026459E-09","2.82743338823081E-09","1.88148846994345E-23","M2B sensor exposure flux proxy"
"4000","1","1E-06","8.69619432930384","8.69619432930384E-09","2.82743338823081E-09","2.45879101972171E-23","M2B sensor exposure flux proxy"
"6000","1","1E-06","9.32268269163901","9.32268269163901E-09","2.82743338823081E-09","2.63592643102217E-23","M2B sensor exposure flux proxy"
