"time_s","r","v_in_m_s","c0_pM","cortex_avg_pM","cortex_avg_mol_m3","source"
"0","0.75","1E-06","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","0.75","1E-06","10","1.83722752018676","1.83722752018676E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"500","0.75","1E-06","10","6.3759977545566","6.3759977545566E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","0.75","1E-06","10","8.68666077250212","8.68666077250212E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","0.75","1E-06","10","9.82751400735153","9.82751400735153E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","0.75","1E-06","10","9.99702485823401","9.99702485823401E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","0.75","1E-06","10","9.99994868297192","9.99994868297192E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"0","1","1E-06","10","0","0","M2B prescribed-velocity convection-diffusion postprocessing"
"100","1","1E-06","10","1.83722752018676","1.83722752018676E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"500","1","1E-06","10","6.3759977545566","6.3759977545566E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"1000","1","1E-06","10","8.68666077250212","8.68666077250212E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"2000","1","1E-06","10","9.82751400735153","9.82751400735153E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"4000","1","1E-06","10","9.99702485823401","9.99702485823401E-09","M2B prescribed-velocity convection-diffusion postprocessing"
"6000","1","1E-06","10","9.99994868297192","9.99994868297192E-09","M2B prescribed-velocity convection-diffusion postprocessing"
