concentration_pM,sensor_surface_c_avg_6000s_pM,Kd_pM,alpha0,noise_floor_pA,lambda_D_nm,effective_charge_distance_nm,N_bound,alpha_eff,DeltaIds_screened_A,DeltaIds_screened_pA,detection_threshold_pA,detectable,required_alpha0_for_detection,maximum_allowed_distance_nm,maximum_allowed_noise_floor_pA
0.5,0.436455382421082,1.0,0.01,10.0,9.6,1.0,60.748659453509866,0.009010751057212905,1.0962714322462809e-10,109.6271432246281,30.0,True,0.002736548551532482,13.440521145748512,36.542381074876026
0.5,0.436455382421082,1.0,0.01,10.0,9.6,2.0,60.748659453509866,0.00811936346150635,9.878228967105482e-11,98.78228967105483,30.0,True,0.0030369816391075813,13.440521145748512,32.927429890351604
0.5,0.436455382421082,1.0,0.01,10.0,9.6,5.0,60.748659453509866,0.0059402532055363505,7.227066698647813e-11,72.27066698647813,30.0,True,0.004151061730980428,13.440521145748512,24.090222328826044
0.5,0.436455382421082,1.0,0.01,10.0,9.6,10.0,60.748659453509866,0.003528660814588489,4.2930606123267684e-11,42.93060612326769,30.0,True,0.006988021532670718,13.440521145748512,14.310202041089228
0.5,0.436455382421082,1.0,0.01,50.0,0.8,0.5,60.748659453509866,0.005352614285189903,6.512129889538899e-11,65.12129889538899,150.0,False,0.023033938595260577,0.0,21.70709963179633
0.5,0.436455382421082,1.0,0.01,50.0,0.8,1.0,60.748659453509866,0.002865047968601901,3.485691947375804e-11,34.85691947375804,150.0,False,0.04303306266433762,0.0,11.618973157919347
0.5,0.436455382421082,1.0,0.01,50.0,0.8,2.0,60.748659453509866,0.0008208499862389881,9.986674633001054e-12,9.986674633001055,150.0,False,0.15020014720848487,0.0,3.328891544333685
0.5,0.436455382421082,1.0,0.01,50.0,0.8,5.0,60.748659453509866,1.9304541362277093e-05,2.348640759655718e-13,0.2348640759655718,150.0,False,6.386672775873487,0.0,0.07828802532185726
0.5,0.436455382421082,1.0,0.01,50.0,0.8,10.0,60.748659453509866,3.726653172078671e-08,4.53394326899037e-16,0.00045339432689903695,150.0,False,3308.378404862626,0.0,0.000151131442299679
0.5,0.436455382421082,1.0,0.01,50.0,3.0,0.5,60.748659453509866,0.008464817248906142,1.0298517038413947e-10,102.98517038413948,150.0,False,0.014565203848330108,0.0,34.32839012804649
0.5,0.436455382421082,1.0,0.01,50.0,3.0,1.0,60.748659453509866,0.007165313105737893,8.717506466492016e-11,87.17506466492016,150.0,False,0.01720675523173555,0.0,29.05835488830672
0.5,0.436455382421082,1.0,0.01,50.0,3.0,2.0,60.748659453509866,0.005134171190325921,6.246366333371007e-11,62.463663333710066,150.0,False,0.024013961396825212,0.0,20.82122111123669
0.5,0.436455382421082,1.0,0.01,50.0,3.0,5.0,60.748659453509866,0.0018887560283756184,2.2979097560726373e-11,22.979097560726373,150.0,False,0.06527671489430696,0.0,7.659699186908791
0.5,0.436455382421082,1.0,0.01,50.0,3.0,10.0,60.748659453509866,0.00035673993347252396,4.34019090444534e-12,4.34019090444534,150.0,False,0.345606917535277,0.0,1.44673030148178
0.5,0.436455382421082,1.0,0.01,50.0,9.6,0.5,60.748659453509866,0.009492497594001751,1.154881970092895e-10,115.48819700928951,150.0,False,0.012988340270645535,0.0,38.49606566976316
0.5,0.436455382421082,1.0,0.01,50.0,9.6,1.0,60.748659453509866,0.009010751057212905,1.0962714322462809e-10,109.6271432246281,150.0,False,0.01368274275766241,0.0,36.542381074876026
0.5,0.436455382421082,1.0,0.01,50.0,9.6,2.0,60.748659453509866,0.00811936346150635,9.878228967105482e-11,98.78228967105483,150.0,False,0.015184908195537906,0.0,32.927429890351604
0.5,0.436455382421082,1.0,0.01,50.0,9.6,5.0,60.748659453509866,0.0059402532055363505,7.227066698647813e-11,72.27066698647813,150.0,False,0.020755308654902143,0.0,24.090222328826044
0.5,0.436455382421082,1.0,0.01,50.0,9.6,10.0,60.748659453509866,0.003528660814588489,4.2930606123267684e-11,42.93060612326769,150.0,False,0.03494010766335359,0.0,14.310202041089228
0.5,0.436455382421082,1.0,0.01,100.0,0.8,0.5,60.748659453509866,0.005352614285189903,6.512129889538899e-11,65.12129889538899,300.0,False,0.046067877190521155,0.0,21.70709963179633
0.5,0.436455382421082,1.0,0.01,100.0,0.8,1.0,60.748659453509866,0.002865047968601901,3.485691947375804e-11,34.85691947375804,300.0,False,0.08606612532867523,0.0,11.618973157919347
0.5,0.436455382421082,1.0,0.01,100.0,0.8,2.0,60.748659453509866,0.0008208499862389881,9.986674633001054e-12,9.986674633001055,300.0,False,0.30040029441696975,0.0,3.328891544333685
0.5,0.436455382421082,1.0,0.01,100.0,0.8,5.0,60.748659453509866,1.9304541362277093e-05,2.348640759655718e-13,0.2348640759655718,300.0,False,12.773345551746974,0.0,0.07828802532185726
0.5,0.436455382421082,1.0,0.01,100.0,0.8,10.0,60.748659453509866,3.726653172078671e-08,4.53394326899037e-16,0.00045339432689903695,300.0,False,6616.756809725252,0.0,0.000151131442299679
0.5,0.436455382421082,1.0,0.01,100.0,3.0,0.5,60.748659453509866,0.008464817248906142,1.0298517038413947e-10,102.98517038413948,300.0,False,0.029130407696660216,0.0,34.32839012804649
0.5,0.436455382421082,1.0,0.01,100.0,3.0,1.0,60.748659453509866,0.007165313105737893,8.717506466492016e-11,87.17506466492016,300.0,False,0.0344135104634711,0.0,29.05835488830672
0.5,0.436455382421082,1.0,0.01,100.0,3.0,2.0,60.748659453509866,0.005134171190325921,6.246366333371007e-11,62.463663333710066,300.0,False,0.048027922793650424,0.0,20.82122111123669
0.5,0.436455382421082,1.0,0.01,100.0,3.0,5.0,60.748659453509866,0.0018887560283756184,2.2979097560726373e-11,22.979097560726373,300.0,False,0.13055342978861392,0.0,7.659699186908791
0.5,0.436455382421082,1.0,0.01,100.0,3.0,10.0,60.748659453509866,0.00035673993347252396,4.34019090444534e-12,4.34019090444534,300.0,False,0.691213835070554,0.0,1.44673030148178
