concentration_pM,Kd_pM,noise_floor_pA,lambda_D_nm,effective_charge_distance_nm,N_bound,required_alpha0_for_detection
1.0,1.0,1.0,9.6,2.0,93.18408595319649,0.00019798720079024397
1.0,1.0,1.0,9.6,5.0,93.18408595319649,0.0002706164179069001
1.0,1.0,1.0,9.6,10.0,93.18408595319649,0.0004555637757237083
1.0,1.0,5.0,0.8,0.5,93.18408595319649,0.0015016307530229549
1.0,1.0,5.0,0.8,1.0,93.18408595319649,0.0028054155838910396
1.0,1.0,5.0,0.8,2.0,93.18408595319649,0.00979186252598779
1.0,1.0,5.0,0.8,5.0,93.18408595319649,0.41636058940086873
1.0,1.0,5.0,0.8,10.0,93.18408595319649,215.6801249961198
1.0,1.0,5.0,3.0,0.5,93.18408595319649,0.0009495361782027602
1.0,1.0,5.0,3.0,1.0,93.18408595319649,0.0011217444515124804
1.0,1.0,5.0,3.0,2.0,93.18408595319649,0.001565520494302198
1.0,1.0,5.0,3.0,5.0,93.18408595319649,0.004255525911741887
1.0,1.0,5.0,3.0,10.0,93.18408595319649,0.022530839599234822
1.0,1.0,5.0,9.6,0.5,93.18408595319649,0.000846737135313058
1.0,1.0,5.0,9.6,1.0,93.18408595319649,0.0008920066894176574
1.0,1.0,5.0,9.6,2.0,93.18408595319649,0.0009899360039512198
1.0,1.0,5.0,9.6,5.0,93.18408595319649,0.0013530820895345005
1.0,1.0,5.0,9.6,10.0,93.18408595319649,0.0022778188786185412
1.0,1.0,10.0,0.8,0.5,93.18408595319649,0.0030032615060459097
1.0,1.0,10.0,0.8,1.0,93.18408595319649,0.005610831167782079
1.0,1.0,10.0,0.8,2.0,93.18408595319649,0.01958372505197558
1.0,1.0,10.0,0.8,5.0,93.18408595319649,0.8327211788017375
1.0,1.0,10.0,0.8,10.0,93.18408595319649,431.3602499922396
1.0,1.0,10.0,3.0,0.5,93.18408595319649,0.0018990723564055205
1.0,1.0,10.0,3.0,1.0,93.18408595319649,0.002243488903024961
1.0,1.0,10.0,3.0,2.0,93.18408595319649,0.003131040988604396
1.0,1.0,10.0,3.0,5.0,93.18408595319649,0.008511051823483775
1.0,1.0,10.0,3.0,10.0,93.18408595319649,0.045061679198469644
1.0,1.0,10.0,9.6,0.5,93.18408595319649,0.001693474270626116
1.0,1.0,10.0,9.6,1.0,93.18408595319649,0.0017840133788353148
1.0,1.0,10.0,9.6,2.0,93.18408595319649,0.0019798720079024397
1.0,1.0,10.0,9.6,5.0,93.18408595319649,0.002706164179069001
1.0,1.0,10.0,9.6,10.0,93.18408595319649,0.0045556377572370825
1.0,1.0,50.0,0.8,0.5,93.18408595319649,0.015016307530229549
1.0,1.0,50.0,0.8,1.0,93.18408595319649,0.028054155838910397
1.0,1.0,50.0,0.8,2.0,93.18408595319649,0.09791862525987789
1.0,1.0,50.0,0.8,5.0,93.18408595319649,4.163605894008687
1.0,1.0,50.0,0.8,10.0,93.18408595319649,2156.8012499611978
1.0,1.0,50.0,3.0,0.5,93.18408595319649,0.009495361782027603
1.0,1.0,50.0,3.0,1.0,93.18408595319649,0.011217444515124804
1.0,1.0,50.0,3.0,2.0,93.18408595319649,0.015655204943021982
1.0,1.0,50.0,3.0,5.0,93.18408595319649,0.04255525911741888
1.0,1.0,50.0,3.0,10.0,93.18408595319649,0.22530839599234823
1.0,1.0,50.0,9.6,0.5,93.18408595319649,0.00846737135313058
1.0,1.0,50.0,9.6,1.0,93.18408595319649,0.008920066894176574
1.0,1.0,50.0,9.6,2.0,93.18408595319649,0.009899360039512198
1.0,1.0,50.0,9.6,5.0,93.18408595319649,0.013530820895345005
1.0,1.0,50.0,9.6,10.0,93.18408595319649,0.022778188786185413
