concentration_pM,Kd_pM,alpha0,noise_floor_pA,lambda_D_nm,maximum_allowed_distance_nm
1.0,1.0,0.01,10.0,3.0,5.4836586785515955
1.0,1.0,0.01,10.0,9.6,17.547707771365108
1.0,1.0,0.01,50.0,0.8,0.1747586509998118
1.0,1.0,0.01,50.0,3.0,0.6553449412492942
1.0,1.0,0.01,50.0,9.6,2.0971038119977417
1.0,1.0,0.01,100.0,0.8,0.0
1.0,1.0,0.01,100.0,3.0,0.0
1.0,1.0,0.01,100.0,9.6,0.0
1.0,1.0,0.03,1.0,0.8,4.183266886276817
1.0,1.0,0.03,1.0,3.0,15.687250823538061
1.0,1.0,0.03,1.0,9.6,50.1992026353218
1.0,1.0,0.03,5.0,0.8,2.895716556329536
1.0,1.0,0.03,5.0,3.0,10.858937086235759
1.0,1.0,0.03,5.0,9.6,34.748598675954426
1.0,1.0,0.03,10.0,0.8,2.34119881188158
1.0,1.0,0.03,10.0,3.0,8.779495544555925
1.0,1.0,0.03,10.0,9.6,28.094385742578957
1.0,1.0,0.03,50.0,0.8,1.0536484819342995
1.0,1.0,0.03,50.0,3.0,3.951181807253623
1.0,1.0,0.03,50.0,9.6,12.643781783211594
1.0,1.0,0.03,100.0,0.8,0.4991307374863433
1.0,1.0,0.03,100.0,3.0,1.8717402655737874
1.0,1.0,0.03,100.0,9.6,5.989568849836119
1.0,1.0,0.1,1.0,0.8,5.1464451297375655
1.0,1.0,0.1,1.0,3.0,19.29916923651587
1.0,1.0,0.1,1.0,9.6,61.75734155685078
1.0,1.0,0.1,5.0,0.8,3.858894799790285
1.0,1.0,0.1,5.0,3.0,14.470855499213569
1.0,1.0,0.1,5.0,9.6,46.30673759748342
1.0,1.0,0.1,10.0,0.8,3.3043770553423286
1.0,1.0,0.1,10.0,3.0,12.391413957533732
1.0,1.0,0.1,10.0,9.6,39.65252466410794
1.0,1.0,0.1,50.0,0.8,2.0168267253950485
1.0,1.0,0.1,50.0,3.0,7.563100220231432
1.0,1.0,0.1,50.0,9.6,24.201920704740584
1.0,1.0,0.1,100.0,0.8,1.4623089809470924
1.0,1.0,0.1,100.0,3.0,5.4836586785515955
1.0,1.0,0.1,100.0,9.6,17.547707771365108
1.0,10.0,0.01,1.0,0.8,1.897352522928631
1.0,10.0,0.01,1.0,3.0,7.115071960982366
1.0,10.0,0.01,1.0,9.6,22.76823027514357
1.0,10.0,0.01,5.0,0.8,0.6098021929813509
1.0,10.0,0.01,5.0,3.0,2.2867582236800654
1.0,10.0,0.01,5.0,9.6,7.317626315776209
1.0,10.0,0.01,10.0,0.8,0.05528444853339453
1.0,10.0,0.01,10.0,3.0,0.20731668200022946
1.0,10.0,0.01,10.0,9.6,0.6634133824007343
1.0,10.0,0.01,50.0,0.8,0.0
1.0,10.0,0.01,50.0,3.0,0.0
1.0,10.0,0.01,50.0,9.6,0.0
1.0,10.0,0.01,100.0,0.8,0.0
1.0,10.0,0.01,100.0,3.0,0.0
1.0,10.0,0.01,100.0,9.6,0.0
1.0,10.0,0.03,1.0,0.8,2.7762423538631187
1.0,10.0,0.03,1.0,3.0,10.410908826986695
1.0,10.0,0.03,1.0,9.6,33.31490824635742
1.0,10.0,0.03,5.0,0.8,1.4886920239158383
1.0,10.0,0.03,5.0,3.0,5.582595089684393
1.0,10.0,0.03,5.0,9.6,17.86430428699006
1.0,10.0,0.03,10.0,0.8,0.9341742794678821
1.0,10.0,0.03,10.0,3.0,3.5031535480045575
1.0,10.0,0.03,10.0,9.6,11.210091353614585
1.0,10.0,0.03,50.0,0.8,0.0
1.0,10.0,0.03,50.0,3.0,0.0
1.0,10.0,0.03,50.0,9.6,0.0
1.0,10.0,0.03,100.0,0.8,0.0
1.0,10.0,0.03,100.0,3.0,0.0
1.0,10.0,0.03,100.0,9.6,0.0
