"concentration_pM","Kd_pM","alpha_0","noise_floor_A","noise_floor_pA","N_bound","DeltaIds_A","DeltaIds_pA","detection_threshold_pA","sensitivity_A_per_pM","LOD_pM","detectable","scientific_conclusion"
"100","10","0.03","1E-11","10","179.384876805256","1.07777346791381E-09","1077.77346791381","30","5.26845870115705E-11","0.569426500266795","True","detectable under this coupling/noise/affinity condition"
"1000","10","0.03","1E-11","10","197.67057401879","1.18763690595852E-09","1187.63690595852","30","5.26845870115705E-11","0.569426500266795","True","detectable under this coupling/noise/affinity condition"
"0.5","10","0.03","5E-11","50","8.36133875432868","5.02362809292903E-11","50.2362809292903","150","5.26845870115705E-11","2.84713250133397","False","not detectable under this coupling/noise/affinity condition"
"1","10","0.03","5E-11","50","16.0514034804785","9.64394384974832E-11","96.4394384974832","150","5.26845870115705E-11","2.84713250133397","False","not detectable under this coupling/noise/affinity condition"
"10","10","0.03","5E-11","50","93.1840859531965","5.59865119405721E-10","559.865119405721","150","5.26845870115705E-11","2.84713250133397","True","detectable under this coupling/noise/affinity condition"
"100","10","0.03","5E-11","50","179.384876805256","1.07777346791381E-09","1077.77346791381","150","5.26845870115705E-11","2.84713250133397","True","detectable under this coupling/noise/affinity condition"
"1000","10","0.03","5E-11","50","197.67057401879","1.18763690595852E-09","1187.63690595852","150","5.26845870115705E-11","2.84713250133397","True","detectable under this coupling/noise/affinity condition"
"0.5","10","0.03","1E-10","100","8.36133875432868","5.02362809292903E-11","50.2362809292903","300","5.26845870115705E-11","5.69426500266795","False","not detectable under this coupling/noise/affinity condition"
"1","10","0.03","1E-10","100","16.0514034804785","9.64394384974832E-11","96.4394384974832","300","5.26845870115705E-11","5.69426500266795","False","not detectable under this coupling/noise/affinity condition"
"10","10","0.03","1E-10","100","93.1840859531965","5.59865119405721E-10","559.865119405721","300","5.26845870115705E-11","5.69426500266795","True","detectable under this coupling/noise/affinity condition"
"100","10","0.03","1E-10","100","179.384876805256","1.07777346791381E-09","1077.77346791381","300","5.26845870115705E-11","5.69426500266795","True","detectable under this coupling/noise/affinity condition"
"1000","10","0.03","1E-10","100","197.67057401879","1.18763690595852E-09","1187.63690595852","300","5.26845870115705E-11","5.69426500266795","True","detectable under this coupling/noise/affinity condition"
"0.5","10","0.1","1E-11","10","8.36133875432868","1.67454269764301E-10","167.454269764301","30","1.75615290038568E-10","0.170827950080038","True","detectable under this coupling/noise/affinity condition"
"1","10","0.1","1E-11","10","16.0514034804785","3.21464794991611E-10","321.464794991611","30","1.75615290038568E-10","0.170827950080038","True","detectable under this coupling/noise/affinity condition"
"10","10","0.1","1E-11","10","93.1840859531965","1.86621706468574E-09","1866.21706468574","30","1.75615290038568E-10","0.170827950080038","True","detectable under this coupling/noise/affinity condition"
"100","10","0.1","1E-11","10","179.384876805256","3.59257822637938E-09","3592.57822637938","30","1.75615290038568E-10","0.170827950080038","True","detectable under this coupling/noise/affinity condition"
"1000","10","0.1","1E-11","10","197.67057401879","3.9587896865284E-09","3958.7896865284","30","1.75615290038568E-10","0.170827950080038","True","detectable under this coupling/noise/affinity condition"
"0.5","10","0.1","5E-11","50","8.36133875432868","1.67454269764301E-10","167.454269764301","150","1.75615290038568E-10","0.854139750400192","True","detectable under this coupling/noise/affinity condition"
"1","10","0.1","5E-11","50","16.0514034804785","3.21464794991611E-10","321.464794991611","150","1.75615290038568E-10","0.854139750400192","True","detectable under this coupling/noise/affinity condition"
"10","10","0.1","5E-11","50","93.1840859531965","1.86621706468574E-09","1866.21706468574","150","1.75615290038568E-10","0.854139750400192","True","detectable under this coupling/noise/affinity condition"
"100","10","0.1","5E-11","50","179.384876805256","3.59257822637938E-09","3592.57822637938","150","1.75615290038568E-10","0.854139750400192","True","detectable under this coupling/noise/affinity condition"
"1000","10","0.1","5E-11","50","197.67057401879","3.9587896865284E-09","3958.7896865284","150","1.75615290038568E-10","0.854139750400192","True","detectable under this coupling/noise/affinity condition"
