concentration_pM,Kd_pM,alpha0,lambda_D_nm,effective_charge_distance_nm,maximum_allowed_noise_floor_pA
1.0,100.0,0.03,0.8,10.0,1.2912896362266961e-05
1.0,100.0,0.03,3.0,0.5,2.93306897136569
1.0,100.0,0.03,3.0,1.0,2.482789282104769
1.0,100.0,0.03,3.0,2.0,1.778996258185087
1.0,100.0,0.03,3.0,5.0,0.6544561493072167
1.0,100.0,0.03,3.0,10.0,0.12361079973114994
1.0,100.0,0.03,9.6,0.5,3.289161400067779
1.0,100.0,0.03,9.6,1.0,3.122235667642683
1.0,100.0,0.03,9.6,2.0,2.8133688343079144
1.0,100.0,0.03,9.6,5.0,2.0583046091710653
1.0,100.0,0.03,9.6,10.0,1.2226850552598667
1.0,100.0,0.1,0.8,0.5,6.182290144384792
1.0,100.0,0.1,0.8,1.0,3.309141454202278
1.0,100.0,0.1,0.8,2.0,0.9480849001178578
1.0,100.0,0.1,0.8,5.0,0.02229681973089156
1.0,100.0,0.1,0.8,10.0,4.3042987874223205e-05
1.0,100.0,0.1,3.0,0.5,9.77689657121897
1.0,100.0,0.1,3.0,1.0,8.275964273682561
1.0,100.0,0.1,3.0,2.0,5.9299875272836235
1.0,100.0,0.1,3.0,5.0,2.1815204976907228
1.0,100.0,0.1,3.0,10.0,0.4120359991038331
1.0,100.0,0.1,9.6,0.5,10.963871333559265
1.0,100.0,0.1,9.6,1.0,10.407452225475613
1.0,100.0,0.1,9.6,2.0,9.377896114359716
1.0,100.0,0.1,9.6,5.0,6.861015363903551
1.0,100.0,0.1,9.6,10.0,4.075616850866222
10.0,1.0,0.01,0.8,0.5,64.09895178393485
10.0,1.0,0.01,0.8,1.0,34.30969649843883
10.0,1.0,0.01,0.8,2.0,9.829892625619996
10.0,1.0,0.01,0.8,5.0,0.23117691656118913
10.0,1.0,0.01,0.8,10.0,0.0004462764347759156
10.0,1.0,0.01,3.0,0.5,101.36839379566925
10.0,1.0,0.01,3.0,1.0,85.8064928295491
10.0,1.0,0.01,3.0,2.0,61.48303876289728
10.0,1.0,0.01,3.0,5.0,22.618345941616774
10.0,1.0,0.01,3.0,10.0,4.272053724911388
10.0,1.0,0.01,9.6,0.5,113.67513390056433
10.0,1.0,0.01,9.6,1.0,107.9060935048934
10.0,1.0,0.01,9.6,2.0,97.2314946128933
10.0,1.0,0.01,9.6,5.0,71.13608108463394
10.0,1.0,0.01,9.6,10.0,42.25663336922906
10.0,1.0,0.03,0.8,0.5,192.29685535180448
10.0,1.0,0.03,0.8,1.0,102.9290894953165
10.0,1.0,0.03,0.8,2.0,29.489677876859982
10.0,1.0,0.03,0.8,5.0,0.6935307496835673
10.0,1.0,0.03,0.8,10.0,0.0013388293043277465
10.0,1.0,0.03,3.0,0.5,304.1051813870077
10.0,1.0,0.03,3.0,1.0,257.4194784886473
10.0,1.0,0.03,3.0,2.0,184.4491162886918
10.0,1.0,0.03,3.0,5.0,67.85503782485033
10.0,1.0,0.03,3.0,10.0,12.816161174734164
10.0,1.0,0.03,9.6,0.5,341.02540170169306
10.0,1.0,0.03,9.6,1.0,323.71828051468026
10.0,1.0,0.03,9.6,2.0,291.6944838386799
10.0,1.0,0.03,9.6,5.0,213.40824325390182
10.0,1.0,0.03,9.6,10.0,126.76990010768716
10.0,1.0,0.1,0.8,0.5,640.9895178393483
10.0,1.0,0.1,0.8,1.0,343.09696498438836
10.0,1.0,0.1,0.8,2.0,98.29892625619995
10.0,1.0,0.1,0.8,5.0,2.3117691656118913
10.0,1.0,0.1,0.8,10.0,0.004462764347759155
10.0,1.0,0.1,3.0,0.5,1013.6839379566926
10.0,1.0,0.1,3.0,1.0,858.0649282954911
10.0,1.0,0.1,3.0,2.0,614.8303876289729
10.0,1.0,0.1,3.0,5.0,226.18345941616778
10.0,1.0,0.1,3.0,10.0,42.72053724911389
10.0,1.0,0.1,9.6,0.5,1136.7513390056438
10.0,1.0,0.1,9.6,1.0,1079.0609350489342
10.0,1.0,0.1,9.6,2.0,972.3149461289329
10.0,1.0,0.1,9.6,5.0,711.3608108463394
10.0,1.0,0.1,9.6,10.0,422.5663336922905
10.0,10.0,0.01,0.8,0.5,33.297133732340185
10.0,10.0,0.01,0.8,1.0,17.822671367160257
10.0,10.0,0.01,0.8,2.0,5.106280839554177
10.0,10.0,0.01,0.8,5.0,0.12008821505404396
10.0,10.0,0.01,0.8,10.0,0.00023182479146328182
10.0,10.0,0.01,3.0,0.5,52.65728799784943
10.0,10.0,0.01,3.0,1.0,44.57343197248141
10.0,10.0,0.01,3.0,2.0,31.93825962801375
10.0,10.0,0.01,3.0,5.0,11.749429103942132
10.0,10.0,0.01,3.0,10.0,2.219180505004265
10.0,10.0,0.01,9.6,0.5,59.050203321381275
10.0,10.0,0.01,9.6,1.0,56.05339129535261
10.0,10.0,0.01,9.6,2.0,50.50831548749673
10.0,10.0,0.01,9.6,5.0,36.95267300242032
10.0,10.0,0.01,9.6,10.0,21.95082342557639
10.0,10.0,0.03,0.8,0.5,99.89140119702053
10.0,10.0,0.03,0.8,1.0,53.468014101480776
10.0,10.0,0.03,0.8,2.0,15.318842518662532
10.0,10.0,0.03,0.8,5.0,0.3602646451621318
10.0,10.0,0.03,0.8,10.0,0.0006954743743898454
10.0,10.0,0.03,3.0,0.5,157.97186399354828
10.0,10.0,0.03,3.0,1.0,133.72029591744425
